X,t,localA,localB
1,40,0.24835707650552913,0.887111849756693
2,41,0.5186531017068428,0.6215493546363121
3,42,1.2749007853455114,-1.0213910874816552
4,43,1.7125714444991138,-1.2232478785578156
5,44,0.47070856493080204,-0.7535556995201722
6,45,-0.11706847847465778,-0.5754967887111705
7,46,0.201821155461204,0.9968660035476826
8,47,-0.5673391517187832,0.6507371713357903
9,48,-1.1857937092626654,0.16317011947826376
10,49,-0.316505230499478,-0.8886385584073018
11,50,-0.2317088464062833,-0.07386090774552326
12,51,0.35492037550733874,-0.5945338646615185
13,52,1.0720376520781036,-0.21983847010294175
14,53,-0.005583606033763597,1.3623289723467233
15,54,-0.27467366396412457,0.1985951693893257
16,55,-0.28114376462062846,0.10443179750240933
17,56,-1.094200812459668,-1.7888520563148889
18,57,-0.7939328499975663,-1.6151495407445111
19,58,-1.4050685540558732,-0.2105863764403911
20,59,-1.2939371029600737,0.9570185422900918
21,60,0.7328243844607599,1.0856841405948126
