X,t,localA,localB
1,40,8.61029198668706,11.980712657566654
2,41,11.064827057625575,13.406116840388968
3,42,10.3494308661224,13.369178027173966
4,43,10.679071198109192,12.700394774453931
5,44,10.318346986057746,13.389946236778822
6,45,11.192529604467577,12.141271481118272
7,46,9.784075594289645,12.004116424471635
8,47,10.322305338863842,11.831069756102503
9,48,9.947290586175349,11.23404018938786
10,49,10.686526928697079,11.683444804307047
11,50,10.39488527137268,10.622899176964353
12,51,10.15909563244489,11.635911191549965
13,52,10.664296447907208,11.23405123912312
14,53,10.593941263668112,11.153617791579766
15,54,9.913507776168602,11.18187382863104
16,55,9.439450606500767,11.141826676433599
17,56,8.44260076820253,11.214732932328028
18,57,8.263930502147696,10.66898209870811
19,58,8.1004764858643,12.000722933628476
20,59,8.554969818063059,12.289052807888623
21,60,8.842439612206098,11.892194865105468
