X,t,localA,localB
1,40,10.345453254983397,13.170663256452672
2,41,10.054403863276303,13.514507767774855
3,42,10.713203342533035,12.818563378556814
4,43,11.638132341997453,14.269948653412696
5,44,11.643409560240704,12.196258170799563
6,45,10.315145486613416,12.617799921960616
7,46,11.301182827748404,12.119665902477639
8,47,10.73341948134004,12.613336688711023
9,48,10.72383704739347,12.28465072547736
10,49,10.933489031653625,11.426332275800846
11,50,10.722309625737555,11.429393346942266
12,51,11.241434377070595,10.755733396229147
13,52,10.678483818131971,10.205635443963253
14,53,10.060190230131257,11.034637684989569
15,54,9.86706668043274,11.31435904464825
16,55,9.455051821318012,11.912748282861147
17,56,9.741915452538805,12.02295428652235
18,57,8.723144559776427,11.438316216913874
19,58,8.973663167095788,11.779580921381775
20,59,8.542812630099458,11.767059206406838
21,60,7.972517845311286,11.950307739654592
